codigo_sii,actividad_sii,mcc,categoria
101011,"EXPLOTACIÓN DE MATADEROS DE BOVINOS, OVINOS, EQUINOS, CAPRINOS, PORCINOS Y CAMÉLIDOS ",5422,CONGELADOS Y PROVEEDORES DE CARNE
101019,EXPLOTACIÓN DE MATADEROS DE AVES Y DE OTROS TIPOS DE ANIMALES N.C.P.,5422,CONGELADOS Y PROVEEDORES DE CARNE
101020,ELABORACIÓN Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS,5422,CONGELADOS Y PROVEEDORES DE CARNE
102010,PRODUCCIÓN DE HARINA DE PESCADO,5422,CONGELADOS Y PROVEEDORES DE CARNE
102020,ELABORACIÓN Y CONSERVACIÓN DE SALMÓNIDOS,5422,CONGELADOS Y PROVEEDORES DE CARNE
102030,"ELABORACIÓN Y CONSERVACIÓN DE OTROS PESCADOS, EN PLANTAS EN TIERRA (EXCEPTO BARCOS FACTORÍA)",5422,CONGELADOS Y PROVEEDORES DE CARNE
102040,"ELABORACIÓN Y CONSERVACIÓN DE CRUSTÁCEOS, MOLUSCOS Y OTROS PRODUCTOS ACUÁTICOS, EN PLANTAS EN TIERRA",5422,CONGELADOS Y PROVEEDORES DE CARNE
102050,"ACTIVIDADES DE ELABORACIÓN Y CONSERVACIÓN DE PESCADO, REALIZADAS EN BARCOS FACTORÍA",5422,CONGELADOS Y PROVEEDORES DE CARNE
472102,VENTA AL POR MENOR EN COMERCIOS ESPECIALIZADOS DE CARNE Y PRODUCTOS CÁRNICOS ,5422,CONGELADOS Y PROVEEDORES DE CARNE
472104,"VENTA AL POR MENOR EN COMERCIOS ESPECIALIZADOS DE PESCADO, MARISCOS Y PRODUCTOS CONEXOS",5422,CONGELADOS Y PROVEEDORES DE CARNE
353001,SUMINISTRO DE VAPOR Y DE AIRE ACONDICIONADO,1711,"CONTRATISTAS DE CALEFACCIÓN, FONTANERÍA Y AIRE ACONDICIONADO"
432200,"INSTALACIONES DE GASFITERÍA, CALEFACCIÓN Y AIRE ACONDICIONADO",1711,"CONTRATISTAS DE CALEFACCIÓN, FONTANERÍA Y AIRE ACONDICIONADO"
332000,INSTALACIÓN DE MAQUINARIA Y EQUIPOS INDUSTRIALES,1731,CONTRATISTAS ELÉCTRICOS
432100,INSTALACIONES ELÉCTRICAS,1731,CONTRATISTAS ELÉCTRICOS
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1740,"CONTRATISTAS EN ALBAÑILERÍA, MAMPOSTERÍA, COLOCACIÓN DE PISOS, YESO Y AISLAMIENTOS"
310001,FABRICACIÓN DE MUEBLES PRINCIPALMENTE DE MADERA,1750,CONTRATISTAS EN CARPINTERÍA
421000,CONSTRUCCIÓN DE CARRETERAS Y LÍNEAS DE FERROCARRIL,1771,CONTRATISTAS EN CONSTRUCCIÓN
429000,CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL,1771,CONTRATISTAS EN CONSTRUCCIÓN
410010,CONSTRUCCIÓN DE EDIFICIOS PARA USO RESIDENCIAL,1520,CONTRATISTAS EN GENERAL - RESIDENCIALES Y COMERCIALES
410020,CONSTRUCCIÓN DE EDIFICIOS PARA USO NO RESIDENCIAL,1520,CONTRATISTAS EN GENERAL - RESIDENCIALES Y COMERCIALES
422000,CONSTRUCCIÓN DE PROYECTOS DE SERVICIO PÚBLICO,1520,CONTRATISTAS EN GENERAL - RESIDENCIALES Y COMERCIALES
433000,TERMINACIÓN Y ACABADO DE EDIFICIOS,1520,CONTRATISTAS EN GENERAL - RESIDENCIALES Y COMERCIALES
432900,OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN,1761,"CONTRATISTAS EN TECHOS, REVESTIMIENTOS Y CHAPAS"
11101,CULTIVO DE TRIGO,763,COOPERATIVAS AGRÍCOLAS
11102,CULTIVO DE MAÍZ,763,COOPERATIVAS AGRÍCOLAS
